epic,size,pnl,direction,exit_type,entry_price,exit_price,opened_at,closed_at,hook_name,spread_cost
ETH-USD,0.22366776250764764,-36.92493085193181,BUY,SL,4470.9169921875,4313.6900390625,2025-09-19 00:00:00+00:00,2025-09-22 00:00:00+00:00,ATR BRK OUT,1.7583300405681814
ETH-USD,0.22310145887438343,-35.97725656014162,BUY,SL,4482.265625,4328.685034179687,2025-09-20 00:00:00+00:00,2025-09-22 00:00:00+00:00,ATR BRK OUT,1.7132026933400768
ETH-USD,0.2488392765581251,-40.55675859260985,SELL,SL,4018.658203125,4173.880822753907,2025-09-27 00:00:00+00:00,2025-09-29 00:00:00+00:00,ATR BRK OUT,1.9312742186957075
ETH-USD,0.24145977525376858,-40.26557406707857,SELL,SL,4141.4765625,4300.294592285156,2025-09-28 00:00:00+00:00,2025-10-01 00:00:00+00:00,ATR BRK OUT,1.9174082889085033
ETH-USD,0.23711618554156272,-40.08253087604705,SELL,SL,4217.341796875,4378.333923339844,2025-09-29 00:00:00+00:00,2025-10-02 00:00:00+00:00,ATR BRK OUT,1.908691946478431
ETH-USD,0.23554530463207662,79.46486015992697,SELL,EOW_CLOSE,4245.4677734375,3890.34619140625,2025-10-13 00:00:00+00:00,2025-10-18 00:00:00+00:00,ATR BRK OUT,4.1823610610487885
ETH-USD,0.25096309231134495,11.94036256691864,SELL,EOW_CLOSE,3984.649658203125,3934.5673828125,2025-10-19 00:00:00+00:00,2025-10-24 00:00:00+00:00,ATR BRK OUT,0.6284401351009811
ETH-USD,0.25120829595771754,6.5125352081060806,SELL,EOW_CLOSE,3980.76025390625,3953.470947265625,2025-10-20 00:00:00+00:00,2025-10-25 00:00:00+00:00,ATR BRK OUT,0.3427650109529516
ETH-USD,0.254157548392317,-71.26009215196741,SELL,SL,3934.5673828125,4201.593701171875,2025-10-24 00:00:00+00:00,2025-10-27 00:00:00+00:00,ATR BRK OUT,3.3933377215222578
ETH-USD,0.2529422913026942,-69.70575512259083,SELL,SL,3953.470947265625,4215.927783203125,2025-10-25 00:00:00+00:00,2025-10-27 00:00:00+00:00,ATR BRK OUT,3.3193216725043246
